src	trg	src_ctx
She's relieved that we caught robbie, and she's decided to hire private security moving forward.	Está aliviada de que hayamos detenido a robbie, y ha decidido contratar seguridad privada.	Glad to hear it. - guys, robbie was telling the truth. - i went through his computer, and there's dozens of e-mails between him and nina preston.
Even if krishna were to meet a lovelorn nymph in the grove	Aunque krishna conociera a una ninfa enamorada	It's only radha's love that blooms in his heart - then why is radha jealous? - with no rhyme or reason
You're like john kerry with [pr] windsurfing.	Usted es como john kerry con su práctica de surf a vela.	I warned him, too. - how'd it go with angie? terrible. - she hates me.
Robbie's got a paper on the french occupation of algeria due monday, which he's yet to begin.	Robbie tiene un trabajo para el lunes sobre la ocupación francesa en argelia. aún no ha empezado.	It would be nice if he were done by the time we got back so we don't have to keep him up all night on sunday. - - i just gotta type it up- - - no.
Kerry came to you after alex died, said alex had told [pr] everything.	Y kerry fue con usted luego de la muerte de alex le dijo que alex le había contado todo.	She was gonna expose stutzer, not just as a fraud, but as a murderer. - - yes. - - yeah.
- emerson had written a pop-up book about [pr] missing daughter in hopes that, one day, [pr] would get it published.	- emerson había escrito un libro sobre su hija desaparecida esperando que algún día se lo publicaran.	And she would read it and come find him. - it's nothing. - i realize what we have is still in the paper-training phase.
Campbell has grown as big as [pr] can within the law.	Campbell no puede llegar más lejos legalmente.	Now he's using violence to take him to the top. - - i'm standing in his way. - - you'll be killed.
Now, mr. arden will pay for any damage she's done. won't you, steve?	El señor arden pagará los destrozos que haya hecho. ¿no, steve?	Yes. - are you sure she's all right? - i'll assume every responsibility for her actions.
While chuck hoped the brass button was significant evidence of [pr] father's comforting presence 131 miles due north the norwegians continued their investigation all the while keeping a watchful eye on emerson cod who they believed knew more than [pr] was willing to say.	Mientras chuck esperaba que el viejo botón de bronce fuera evidencia importante de la presencia reconfortante de su padre doscientos kilómetros hacia el norte los noruegos continuaban su investigación todo eso en tanto vigilaban estrictamente a emerson cod quien creían que sabía más de lo que quería decir.	Meanwhile, emerson cod was once again keeping his eye on them in the hope that the forensic breadcrumbs from dwight's motel room would not lead the norwegians back his way. - using the gumshoe skills that made him great the number-one detective in papen county took the fight to his opponent. - his plan was this:
We'd like to speak to mr and mrs carlin, please.	Nos gustaría hablar con el señor y la sra. carlin, por favor.	Mr carlin's very poorly, i'm afraid, and mrs carlin's gone out. - she has a night out once a week. - it is important.
Dwight had no idea what sutton was doing here, and [pr] has no idea that i'm here.	Dwight no tenía ni idea de lo que sutton hacía aquí, y no tenía ni idea de que yo esté aquí.	What was sutton doing? - inviting you to dwight's birthday party. - he was supposed to just leave a note.
It started in 1990, when [pr] read the glowing review of dr. campbell's china study the new york times.	Comenzó en 1990, cuando leyó un importante artículo... acerca del estudio sobre china del dr. campbell en el new york times.	Dr. esselstyn saw that, and he invited me to come to a conference he was organizing in arizona. - these two revolutionaries, who, up until then, had been on similar but separate paths finally met face-to-face. - on the one hand, i'm coming from the scientific group, getting some ideas.
And [pr] has no prior criminal record, which i'm guessing is not the case with all the leading men featured in mr. peyton's slideshow.	Y ella no tiene antecedentes penales, que apuesto no es el caso con todos los "afamados" hombres de la presentación del sr. peyton.	She's been law-abiding her whole life. - and where did it get her? - starving.
Today marks the first 24-hour period since i arrived in salem without a single new infection.	Hoy se cumple el primer periodo de 24 horas desde que llegué a salem sin una sola nueva infección.	I do believe the worst may be past and this pox may finally be dying down. - i've, um, spoken to him of the horrors we witnessed yesterday. - yes, well, it's not often that i allow a novice to join my research, but mather insisted on accompanying me to investigate the victims burry hell grounds.
I told lori what conditions for safe transfer must be met including a medical doctor to accompany robbie.	Yo informé a lori las condiciones para un traslado seguro incluyendo un doctor que acompañe a robbie.	Now, i don't know of a single m.d. who would endorse the kind of foolishness she's proposing to subject her son to. - of course you don't. since so many in our profession choose not to look beyond the limits of drugs and surgery. - it's what made me change careers, but i've kept my medical license current.
The soldiers wanted to kill [pr] right away, but jaime immediately said that one couldn't harm an old woman who had faced, all by herself, with so much courage, the portuguese army.	Los hombres querían matarla. jaime dijo que no podían maltratar a una vieja que con valor, había hecho frente al ejército portugués.	Then he ordered someone to make a crown of lianas and leaves and she enter mueda, on top of the unimog as a queen. - that's how jaime is. - this is another operation.
You'll need to talk to dr. emerson about that.	- tendrá que hablarlo con el dr. emerson.	Is it true he works "the times" sunday crossword puzzle in under an hour? - in pen. - do you know if he ever got my letters?
[pr] spent time in new york, but now he's back and practising in harley street.	Estuvo en nueva york, pero ahora está de vuelta - ejerciendo en harley street.	Harley street? - he can do an exploratory operation that isn't available at the london. - he says he'll see you, if that's what you want.
And then... and then [pr] went off... after a pleasant conversation... and then i was sitting with lorca, talking... and then all of a sudden, [pr] reappeared... in full, like, armani dress.	Y luego se fue tras una conversación agradable. y luego yo estaba hablando con lorca, y de pronto él reapareció vestido por completo en armani... un traje armani, con el cabello peinado hacia atrás y zapatos de charol o lo que fuere.	Like an armani suit with his hair slicked back... and, like, these patent leather shoes or whatever... and i literally jumped out of my seat. - i was like, "oh, my god, it's leonard cohen." - you know, kind of, it was 'cause he... he looked like he'd walked off... one of his album covers.
I don't know if i can do it, peyton.	No creo que yo pueda hacerlo, peyton.	I've been trying to believe the best in people, lately, you know? - like, hoping nikki will just back off... or that jake's lawyers will find a way to get him out... so i'd like to believe that... even somebody as assy as your dad could be different if he really wanted to. - yeah, but... you know all the crap that he's pulled in the past.
Now, your english teacher, mrs. reilly, had [pr] baby last night, so [pr] will be on maternity leave for the next six weeks.	Ahora, su profesor de inglés, la señora reilly, tuvo a su bebé la noche anterior, por lo que estará de baja por maternidad para las próximas seis semanas.	Thank you, bill clinton. - anyway, i will be taking over the class for her while she breast-feeds and bonds. - starting tomorrow,
Landry was always willing to go beyond what was required.	Landry siempre estaba dispuesto a ir más allá de lo que se requería.	Let me go! - he was responsible for michael's protection- his person as well as his research. - leave me alone!
Yeah, and [pr] dad's my boss, so please remember that, kris.	Sí, y su padre es mi jefe, así que por favor recuerdalo, kris.	I thought you didn't have to pay a referral fee if it was within the office. - you do sometimes. it depends. - he fails.
I gave [pr] to maya, because she's bad babysitter riley.	Se la di a maya, porque ella es riley, la niñera mala.	I know that doesn't rhyme, but i'm just so mad! - auggie, it may seem bad right now, but i'll make you a bet... you're gonna want her back. - fine.
Carlos del sol, the most connected guy in mexico, couldn't find a thing on nicolas' past.	Carlos del sol, el tío con más conexiones en méxico, no pudo encontrar nada sobre el pasado de nicolas.	Someone doesn't go through all the trouble of having their past professionally erased for no reason. - when i asked nicolas why he went through all the trouble, he said it was not about hiding who he was. - it was about protecting himself from the parents who abandoned him when he was a baby.
I believe lennie macdonald, who's a complete mad scientist in this business and bill bryan as well, teamed up on this, knowing what was possible, what we could do, what we couldn't.	Creo lennie macdonald, que es un científico loco y bill bryan también, se juntaron, sabiendo lo que era posible, lo que podíamos hacer, y lo que no se podía.	I first started working with steve at boss films on "ghostbusters." - he was in charge of slimer and the librarian. - i decided, you know what?
Thought sutton was coming over to help you study.	Pensé que sutton iba a venir para ayudarte a estudiar.	It's a change of plans. - you pissed her off, didn't you? - yes, i did. anything else?
My grandfather, john o'reilly -- member of the nypd in the 1930s.	Mi abuelo, john o'reilly... miembro de la policía de nueva york en 1930.	I still have his billy club. - well, keep it away from your detractors. - - jane.
When [pr] died, lennie just come along with me working.	Cuando murió, lennie empezó a seguirme y a trabajar conmigo.	I used to play jokes on him cos he's too damn dumb to take care of himself. - he'd do any damn thing i told him. - put that on back in here.
Louis is so threatened by you that [pr] wanted to remind blair-- why [pr] chose him.	Louis está tan amenazado por usted que quería recordar a blair... por qué le eligió a él.	Maybe louis is right. - he doesn't have to be. - you can change.
Buried in salem in unconsecrated ground, of course, but [pr] grave was robbed six months ago.	Sepultada en salem en tierra no consagrada, por supuesto, pero su tumba fue robada hace 6 meses.	You think the victim dug up the old witch's bones to increase her own power? - absolutely. - this is interesting, but not pertinent to the case.
So robbie sullivan's at your house right now?	Robbie sullivan esta en tu casa en este momento.	He is having dinner... with my family. - and let me tell you something, this chick was fat, okay? - every time he opens his mouth, i can feel my daughters losing respect for me.
No, madam. i'm invited by mr. campbell, mr. crozier's head gardener.	No, me ha invitado el sr. campbell, el jardinero de la sra. crozier.	He's giving a ceilidh. - it's his diamond wedding. - diamond wedding.
[pr] opened [pr] eyes at krishna's touch!	Ella ha abierto los ojos al tocarla krishna.	Perhaps your daughter didn't open her eyes.. ..because she wanted to see krishna first - i want to name her radha.. ..the first devotee of krishna - i don't understand this... how did an infant like radha recognise krishna?
James' letter says that if riley denies being [pr] partner, just show [pr] the finger.	La carta de james dice que si riley niega haber sido su socio, le enseñes el dedo.	It's his. - letter also says that if notley is killed in prison, it's because, uh, riley found the money and had him killed. - what do you want me to do?
Look, i want you to call det. blair and find out if anyone matching elizabeth's description has gone up missing in the last year.	Mira, quiero que llames a la detective blair y descubras si alguien con la descripción de elizabeth ha desaparecido en el último año.	If she has a family anywhere, we need to get them somewhere safe. - and what're you gonna do? - just call me when it's done.
Stevie, could you do me a favor and go help set the table, please?	Stevie, ¿puedes hacerme un favor y ayudar a poner la mesa?	Yeah. - ah. thank you. - i can't believe how much she looks like you did in high school.
Look priya, the truth about krishna the world is about to discover..	Mira priya, la verdad acerca de krishna, está a punto de descubrirse al mundo	..is because you lied! - the lie that you love him brought him here all the way from india. - and imagine!
Me and stevie, we met [pr] at the embankment.	Stevie y yo, nos reunimos con él en el embankment.	We talked for a couple of minutes, then we got in his car and drove around for a bit more and he offered us a job. - 20 grand. what was the job, what did he want you to do? - kill someone.
However, miss campbell´s press secretary did state that [pr] was determined to fight this every step of the way, and that kitty vehemently denied that these events ever took place.	Sin embargo, la secretaria de prensa de la sra. campbell afirma que ella está decidida a pelear esto paso a paso, y que kitty niega vehementemente que estos sucesos hayan ocurrido.	Kitty does not know who manipulated binky baxter, but she is convinced... (burping) - once the chicken stock has settled, introduce it gradually, just a tea cup at a time, all the while stirring continuously. - esther: (on walkie-talkie) over.
But just as [pr] reached the place krishna called the gateway to life... [pr] turned back and decided not to enter.	Pero justo cuando llegó al lugar que krishna llamaba el portal de la vida dio marcha atrás y decidió no hacerlo.	After all, she'd come this far. she could continue not to come at all. - in an effort to get her mind off sex... miranda had rented a five-hour danish documentary... on the nuremberg trial. - - it actually worked until...
The least you could do, riley, is buy the young man a beer or two.	Lo mínimo que podría hacer, riley, es invitar a este joven a una o dos cervezas.	-  she said "ah-ah-ah"...  - all right. - nothing? - hey, pop.
Birkoff said that one of chernov's children... was sent out before the raid, a boy named milan.	Birkoff dijo que a uno de los chicos de chernov... lo enviaron antes de la incursión, se llama milan.	We tracked him to kiev. - we're staging a mission right now. - -i'd like to be on it.
I think the history behind riley's bogeyman might allay your fears about the mantus house.	Creo que la historia detrás del coco de riley quizás alivie tus miedos sobre la casa mantus.	Her villain's name is bloody bones, and he lived in 50 berkeley square. - in 1840, sir robert warboys heard the tale of a parlourmaid who'd seen the spectral presence and had been driven insane. - he wanted to disprove the haunting.
Nick campbell is checking [pr] out.	Nick campbell la está localizando.	You can't give him time? - i can't. - i can't wait.
It would've been hard for powell to fire four shots into officer campbell... at the same time [pr] was shooting at the fleeing officer.	Le sería dificil a powell disparar a campbell y al agente que huía.	The gun... the bullets... - we have all of the guns and the shells and the slugs. and of course we have officer hettinger. - and what's he saying?
Mr riley, do you have a cell phone i can borrow?	La batería. - sr. riley, ¿me presta su teléfono?	Yeah. - - god. roman. - remind me not to sleep with him again.
Blair, you know better than anyone how rough things have been for chuck lately,	Blair, tú más que nadie sabe lo duras que han sido las cosas para chuck últimamente.	And unfortunately, i didn't help the way i reacted this morning. - i really want to do something nice to celebrate. - i'll bring chuck. you round up his friends.
Well, robbie worked on silk road in [pr] grandfather's basement.	Bueno, robbie trabajó en silk road en el sótano de su abuelo.	That means that i can freeze his grandfather's assets. - juror 499, please state your name. - uh, daniel irwin.
Yeah, see, that is exactly what i said, lavon, but out of deference to lynly's wishes, i was... i was just waiting for the right time.	Sí, ves, eso es exactamente lo que yo dije, lavon, pero por respeto a los deseos de lynly, estaba... estaba esperando el momento adecuado.	Oh, that's a crappy excuse. - and this is a bad situation. - now, you know she was vulnerable.
Wallace : yeah, well, when general landry says now, [pr] means now.	Cuando el general landry dice "ahora", quiere decir ahora.	Sheppard : sorry about this too. - can't afford to have him telling landry he ran into us. - sheppard :
The body of samantha finley was found dead in the arms of [pr] brother.	El cuerpo de samantha finley fue encontrado en los brazos de su hermano.	With the news of the death of their children, ellen finley took his own life in hospital. - it is the opinion of the people closest finley family that this video is shown to the public as a final testimony of inexplicable and terrible events occurred in their finleys. - 1476, the dawn of a new era for italy.
There was one question one time i asked kiran bedi, ask about... i said:	Una vez le hice una pregunta a kiran bedi, le pregunté acerca de--	How many people? - she looked at me and there was a maybe 20-30 people sitting there she says: you are the percentage... - it's you people... and it's you who can make it... this world a better place...
Which is what rachel used to think about finn. but then [pr] learned this secret about [pr] and santana	Que es lo que rachel pensaba de finn, pero después supo el secreto de él y santana, lo que la enfadó mucho.	- which made her super mad. - - do you think she's prettier than me? - - don't answer that. - so she made out with puck,
Mr carlin, farley price is known to police for taking bets on horseracing.	Sr. carlin, farley price es conocido por por tomar apuestas de caballos.	It turns out you owe him a tidy sum of money. - but i digress. - the kissing bandit never wore gloves in the initial robbery.
-  [pr] gave it to riley and cole.	- a riley y a cole.	They staked out the other guy's place last night, but he never showed. - they figure maybe he skipped town. - you wanna keep after him?
Maybe [pr] was jealous of kerry.	- quizá estaba celosa de kerry.	- why kill kerry and leave emily? - - how did she know... - ... - kerry was sleeping with alex?
If you will allow me, i would be happy to act as intermediary... with mr. emerson.	Si me lo permite... podría intermediar con el sr. emerson.	I do not think he would take advantage of your acceptance... nor expect any gratitude. - he has rooms he does not value and he thinks you would value them. - charlotte, please.
An accidental, inadvertent death that emerson cod hid in order to protect [pr] friends.	Una muerte accidental involuntaria que emerson cod ocultó, con el fin de proteger a sus amigos.	And so dwight dixon, villain and thief, was buried in the grave once occupied by charles charles. - eh, what makes you think something happened to dwight dixon? - because he cared about me.
- oh, they're not-- they're not talkin' about takin' robbie away from me.	Que no se atrevan a hablar de quitarme a robbie.	She's on her way down here now. - it might be best if you were gone when she gets here. - all right. i think you know your child better than any of us and you're just trying to do what's right for him.
Well, when riley left, it just kind of took us all by surprise.	Bueno, cuando riley se fue, como que nos tomó por sorpresa.	She just left us with a hundred open cases, and we're shorthanded. - but, i'll get to yours as soon as i can. - what is this for?
Looks like burton has a history of violent altercations with another rapper, remy hyde.	Parece que burton tiene una historia de altercados violentos con otro rapero, remy hyde.	Seems they both were hooking up with the same victoria's secret model. - that a reason to spray bullets at him and a cop? - oh, it's been done for less.
[pr] ongoing illness must be a strain on you, my dear, and indeed, on all of salem.	Su enfermedad debe ser una carga para usted, querida, y en efecto, para todo salem.	Thank you. - but he is quite hardy. - good.
Uh, he's at remy's, i just got a text message.	Está con remy, acabo de recibir un mensaje.	Mr. beaumont picked him up. - i was gonna go over and get him. - okay, you do that.
Look, if you go into that house right now, all hell is gonna break loose, and stevie would see that.	Mira, si entras a esa casa ahora mismo, se armará tremendo embrollo, y stevie vería eso.	Do i have a choice? - i'll make sure you get to video-chat with him. - i-i want him told i'm his mother.
- do you know where did michal get the binoculars from? - i don't know.	- ¿sabe dónde consiguió michal los prismáticos?	If i were in charge i would have thrown him out long ago, the fucker. - i knew it was going to end like that one day. - hey!
You see, well, jessie and i, we've always been together, just the two of us.	Verás, jessie y yo siempre hemos estado juntas las dos solas y...	Now, don't you worry. just leave jessie to me. - i'll be so nice to her that by the time we're ready to break the news, she'll be begging you to marry me. - i'm sure she will.
I'd like you and robbie to come down to the station tomorrow.	Me gustaría verlos a robbie y a ti en la comisaría mañana.	- why? - - i wanna talk to robbie. - i'll need him to give a dna sample.
Two days later, mr. peyton contacted us directly.	Dos días después, el sr. peyton nos contactó.	He had caitlyn. - he personally had your daughter? - he'd had her for almost a day.
Santana looked worried.  [pr] was looking for you.	Lo vi preocupado a santana, lo andaba buscando.	- where is he? - - at the bridge. - has she died?
Yeah, yeah. and then [pr] took off with him... didn't come back to the house until after i was asleep. and then this morning left a cute little note that said, "having breakfast with robbie."	Y luego se fue con él no volvió hasta que me dormí y luego esta mañana, dejó una linda nota "¡desayunando con robbie!".	What the hell is she doing? - he's half her age. don't say it. - i think it's sweet.
We've had a wonderful time with little stevie.	Lo hemos pasado en grande con el pequeño stevie.	- quite a boy. big for his age. - - isn't he? - i can't tell you how much it's meant to us to have him.
But our working theory is that provo held a gun to tommy's head, forced [pr] to call jessie.	Pero nuestra teoría es que provo sostuvo el arma contra la cabeza de tommy, forzándolo para que llamara a jessie.	Once she's on her way, provo triggers the 911 calls, and the police arrive just after jessie does. - sounds like it's time for a sit-down with the suffolk county da. - open our kimono?
Oh, my dad was ancient when [pr] was going out with becca riley."	"mi padre estaba loco cuando salió con becca riley".	I really screwed up with her, max. - wait, you're not gonna yell at me and tell me what a crappy brother i am? - i totally snapped on her about the whole becca riley thing.
They're by emerson blackwood, a man who once lived here.	Son de emerson blackwood, un hombre que vivió aquí antes.	He was a very famous wildlife painter. - hey, sally, look. - you want to try?
And emerson cod had a plan for how to get their "guilty dog" to run.	Y emerson cod tenía un plan... para hacer que su "perro culpable" saliera corriendo.	All right, let's get him ready. - one last touch without touching him. - would you prop him up?
Come on, lavon, i know why wade canceled on me.	Vamos, lavon, sé por qué wade cancelo lo nuestro.	It's my fault. - i'm the one who suggested wade ask zoe to be his partner. - i think i did it to see how he felt about her.
Let me help you. i can't leave dan in the hands of serena, or even worse, blair waldorf.	No puedo dejar a dan en manos de serena, o peor aún, de blair waldorf.	I just... i want dan to be with a girl who's not gonna corrupt his soul, and-- and trust me, i can give you better advice than that book. - with albert's illegitimate children, ernst's thai mistress, and stephanie's stint in the circus, - i understand your apprehension about a dark horse from the states, but i can assure you that the waldorfs are as prestigious a family as america has, and i would never bring ignominy to louis.
Yeah, but i'm not sure blair will think so.	Si, pero no estoy segura de que blair asi lo piense	Your dad called me. - he said he couldn't reach you. - i told him he should try serena because i assumed you'd be with her, because what other reason could there possibly be that you haven't called or e-mailed me all summer, or making me have this conversation in the doorway.
I mean, serena and i were helping blair.	O sea, serena y yo estamos ayudando a blair.	We... investigate chuck's new girlfriend. - why would you do that? - because eva's not who chuck thinks she is.
Um, laura sutton is on [pr] e-mail.	Laura sutton está en su e-mail.	- what did dring say? - - that he doesn't know where she is, either. - he's got seven residences in germany alone.
And stevie parroting all [pr] half-baked opinions.	Y stevie repitiendo todas sus opiniones a medio hacer.	Yeah, it was weird. - it's usually she just parrots your half-baked opinions. - hey.
See, i got... i got jessie mandel in the other room, and he's spinning a version that, i don't know, doesn't add up.	Verás, tengo... tengo a jessie mandel en la otra sala y está rociando una versión que, no conozco.	I mean, jessie's saying you paid him to kill colin. - i don't know who jessie mandel is, and i don't have anything... - darren, darren, darren.
Milan knizac is in the prison hospital because someone cut [pr] throat.	Milan knizac está en el hospital de la prisión porque alguien le rebanó la garganta.	Joe green has got access to him - he's a prison doctor. - he's also married to natalie green, who's pregnant. - so that's who i'd go for, if i wanted milan knizac dead.
[pr] got up on the table and did a stevie nicks impersonation.	Se subió a la mesa e hizo una imitación de stevie nicks.	And she wasn't bad. - remember, she took up the tablecloth and whirled around with it? - ...that had been on the turkey tray that were touched over onto the peanut-butter-and-jelly tray.
Salem is filled with those who act out... friends who act like enemies, enemies who act as executioners.	Salem está llena de aquellos que fingen... amigos que actúan como enemigos, enemigos que actúan como ejecutores.	This is all new to her. - trust that, in time, she will accept it. - yes, and if not, what then?
If i had one, mrs. campbell, i'd be happy to show it to you.	Si la tuviera, sra. campbell, con gusto se la mostraría.	As far as i know, there are no pictures of priscilla rochester. - let's see. - the last time i saw her was about four years ago.
Here's the full quote from o'reilly's radio show this morning.	Aquí está la cita completa del programa radial de o'reilly de esta mañana.	"this brit who had the audacity to come to the us" preaching to us about the death penalty and immigration, flouting his credentials as a former royal marine "wounded in the falklands is a..." - did he say falklands sarcastically? uh... his tone was, um, dismissive. - go on.
So if riley was shagging you, in order to...	- si te tirabas a riley-- - ¡ray!	A little bit of sensitivity, please? - so, if riley was shagging you in return for leaving your husband alone, why did he change his mind? - i don't know.
'patsy's boy, robbie, he's heard she's coming in.'	'el hijo de patsy, robbie, escuchó que ella está llegando.'	He's heading to the harbour. - he thinks she's alive. - hey!
Krishna followed [pr] love, priya, to singapore... where [pr] learns the shocking truth that... [pr] father dr. rohit mehra was alive.	Krishna siguió a su amor priya, a singapur... donde se enteró de la verdad... su padre el dr. rohit mehra estaba vivo.	And was being held captive by dr- siddhant arya since many years. - time saw krishna create a new history. - with a broken piece of a mask-.. ...that he donned in the midst of a circus fire.
Nothing turns [pr] upside down like losing blair waldorf.	Nada pone su mundo patas arriba más que perder a blair waldorf.	All he needs is a push, and i'll have the men in lab coats waiting to catch him when he falls. - let me know what i can do. - you can start by paying for drinks during which we'll discuss what else you'll be paying for.
Why are you looking into your hands harold finley?	¿por qué visitaste a harold finley?	He has been embroiled in ewa tanguy's daughter abduction. - why should i help you? - since it is a shame that the sas soldiers abduct the child.
Remy, gimme a hand, get [pr] arms and legs.	Remy, ayúdame, coge sus brazos y las piernas.	Filthy kid, goddamn it! - hold his arms. - do you kill many children?
The only way for blair to move on is if [pr] thinks i never will.	La única manera de hacer que blair avance es que se piense que yo nunca lo haré.	I had to kiss her to set her free. - i just found out you were taking money to reveal information about me. - chuck destroys everything, and he'll never change.
I don't know if i should be the one to tell you this, but...  [pr] doesn't really like blair. oh.	No sé si soy el que debe decirte esto pero... no le gusta blair.	I am well aware of that fact. - she already told me. - oh, really?
Soon as you tell me where the real sutton is.	En cuanto me digas dónde esta la verdadera sutton.	You're looking at her, and now you're looking at her walking away. - sutton? - sutton.
Robbie beals and henry bright have gone over there. to investigate, robbie says.	Y robbie y henry fueron para allá para investigar, dijo robbie.	And you let them go there? - come back. there was no way to stop robbie. - he practically shanghaied my husband.
If robbie has been watching the building since [pr] moved in, that's two months of watching people in their most private moments, right?	Si robbie ha estado observando el edificio desde que se mudó, esos son dos meses mirando gente en sus momentos más privados, ¿cierto?	Two months of learning their secrets. - - go on. - - his life was based around the telescope.
[pr] knows a singer called milan who knows lots of singers.	El conoce un cantor llamado milan[br]que conoce muchos cantores.	Maybe he knows her. - - can we go see him? - - i'll take you.
Jessie mcmullen is a man in [pr] 60s.	Jessie mcmullen es un hombre en sus 60's.	Any sentence, other than a token would really be a life sentence, your honor. - to give him five or 10 years in prison is not a five - or a 10-year sentence it's a sentence of life imprisonment. - vito mcmullen.
Dr. carey surely ought to know what you should be doing.	El dr.carey sabrá lo que conviene hacer.	That's all i've got to say. - if anything happens it won't be my fault. - here, how do you know it wasn't him what done to these blokes before me?
I think stevie grayson visited my father in prison.	Creo que stevie grayson visitó a mi padre en prisión.	- what do you think she wanted? - - she came here with secrets. - i'm gonna find out every single one.
"i'm the only one who does know where [pr] is", "and if you've never believed anything" "i've said to you before, believe this, mr. peyton",	"soy el único que lo sabe, y si nunca me ha creído nada... de lo que le he dicho, crea esto, sr. peyton, si va a la policía, ella morirá".	"if you go to the police, she will be dead." this man was highly unstable, in my mind, and quite capable of deadly violence. - i did believe him. - so what happened next?
But what riley seems to be forgetting is [pr] doesn't have a fucking say in our family!	Lo que riley esta olvidando... ella no tiene absolutamente nada que decir en nuestra familia.	Leave her alone. - or what? - i like!
Catholicism is the ideal choice for terrorists like tony blair, the mafia, and the ira.	El catolicismo es la elección ideal para los terroristas como tony blair, la mafia, y el ira.	The catholic church wholeheartedly supported the nazis and with the help of the cia, continued to protect them after the fall of the third reich by passing them along the infamous 'ratline' to safety in america. - it also goes out of its way to protect the malignant child abusers who run its operations worldwide. - most of all it protects the pope - the richest man in the world - who travels to africa pleading for an end to poverty despite never using his own riches to help his most desperate followers.
And when suffolk county police spoke to him, [pr] claimed jessie stole it from him.	Y cuando la policía del condado de suffolk habló con él, el dijo que jessie se la había robado.	But he didn't report the gun stolen until the cops talked to him? - i say we follow up on that. - my family has been clothiers and armorers for hundreds of years.
Mrs. sutton, i know this is difficult, but telling us what happened to your husband might help us find who killed him.	Sra. sutton, sé que es difícil pero decirnos qué le sucedió a su esposo ayudaría a saber quién lo mató.	Are you in danger? - no, no, no. - you know, he was flogged.
But we hear serena's stories sizzle while blair's are more fizzle.	Pero escuchamos que las encuentros de serenas eran ardientes mientras los de de blair eran menos calientes.	She shopped at saint laurent and dined at drouant but the only beau b. - had this summer is on her headband. - your cute waiter gave me his number.
Then sutton came back to scottsdale, and things got dangerous.	Entonces sutton volvió a scottsdale, y las cosas se pusieron peligrosas.	Someone tried to kill me! - next, a woman named rebecca showed up, with so many lies of her own. - sutton went into hiding, because there was someone out there willing to kill to keep us a secret.
Stevie, this is between your grandfather and me.	Stevie, esto es entre tu abuelo y yo.	No, it's not. - mom doesn't lie. - she doesn't pretend to be better than she is.
Hartley's counselor, dr. emerson, boyfriend, joseph young, were eventually found to have ties to the occult.	Notas adicionales sobre la paciente la orientadora de hartley, la dra. emerson, su novio, joseph young tenían lazos con el ocultismo.	Both were found dead in a bizarre double suicide... shortly after hartley escaped from their cult... and moved to michigan to start a new life. - she did this. - she brought him here.
Now, when we get back to cheyenne, you make things right with campbell.	Ahora, cuando volvamos a cheyenne, hará las paces con campbell.	He wants to keep his job. - he'll negotiate with you. - your confidence is very annoying, bohannon.
The two guys [pr] ran with, jessie and jason....	Los dos que iban con él, jessie y jason...	Jessie would fight. - jason was not very aggressive, in that respect but i believe he would do anything that damien asked him to do. - eight months have passed since the three boys were killed.
Why, did general landry say something about it, sir?	¿por qué, el general landry dijo algo sobre ello, señor?	He did. - are you going to tell me sir? - he said you're gonna be fine, mitchell.
After hearing jessie's confession, and all those things [pr] didn't know and the bloody man at bojangles, and mark byers and that bloody knife.	Después de oír la confesión de jessie y todas las cosas que no sabía y el hombre ensangrentado en bojangles y mark byers y el cuchillo ensangrentado.	And those girls up on the stand, acting like this is all just some sort of game to them. - and what about chris morgan? - they told me that he confessed out in california, and they wouldn't even let us hear what he had to say on the stand.
Riley missed the winning shot.  [pr] felt awful.	Riley falló un tiro ganador, y se sintió fatal.	She wanted to quit. - sadness. - mom and dad.
Landry had [pr] taken down to a contemplation cell.	Landry lo atrapó y lo llevó a la celda de contemplación.	No, no, no, i don't want that. - i don't want him to be locked away. - let him stay with the others.
'milan knizac has been attacked in mortlake prison.	Milan knizac ha sido atacado en la prisión mortlake.	'knizac is serving a life sentence 'for the murder of caitlin marwood, tom marwood's late wife. - 'caitlin marwood was raped and murdered by milan knizac 'four years ago, after he was released from prison 'less than halfway through a nine-year sentence...' - what do you want?
Kid was looking for [pr] dog, jessie, this morning.	El chico estaba buscando a su perro jessie esta mañana.	And he didn't tell him that he dropped him off here. - let's go see our dad of the year. - yeah, i left my dog at the pound last night to be put down.
Yeah, well, stevie likes to think that he's the star of the family.	Sí, bueno, stevie le gusta pensar que él es la estrella de la familia.	But before he was born, i modeled a bathing suit for a woolworth advertisement. - well, you still have quite a figure on you there, delores. - yeah, i can see where steve got his rocking bod.
Emerson thinks that [pr] was planning on killing both you and me - the night we re-alived my dad.	Emerson cree que planeaba matarnos a ambos la noche que revivimos a mi padre.	- emerson knows? - he helped me bury dwight in my dad's empty grave. - he wanted me to tell you right away, but i...
Mrs. emery, if you knew max fabian's history, you'd have no trouble whatever in believing it.	Sra. emery, si conociera la historia de max fabian, no tendría ningún problema en creerlo.	- but what reason could he have? - - as for his precise reasons, i'm not sure, but we're certain your husband was involved with him, and murder is very much a part of mr. fabian's business. - he's caused the death of many thousands.
It'd be weird if [pr] wasn't attracted to her, sutton.	Sería extraño si no se sintiera atraído por ella, sutton.	'cause our relationship is purely physical? - if you weren't worried, then why did you tell him you love him? - what kind of person do you think i am?
