src	trg	src_ctx
I don't know what to tell you, Artie.	Ich weiß nicht was ich dir sagen soll, Artie.	I can't do it. - - I don't need a reason why. - - Just tell him the truth.	 
I got to finish this deal with Lin and the Irish.	Ich muss den Deal mit Lin und den Iren beenden.	I'll deliver him tomorrow. - You just tell me when and where. - Good.	 
An eyewitness saw a security police captain and some of [pr] men smashing the place up.	Ein Augenzeuge sah den Chef Ihrer Sicherheitspolizei und seine Männer das Zentrum zertrümmern.	Would he testify? - He's afraid to. - But I felt it would be more effective if you took some action internally.	 
An old lady claims Williams is hiding under [pr] piazza.	Eine alte Dame behauptet, Williams versteckt sich unter ihrer Veranda.	Tell her to stand up. - - You want to go out on it? - - I'll cover this end.	 
Called from Tai Kok Tsui, said he'll be back soon.	Ruft mich aus der Tai Kok Tsui an und sagt, er kommt bald nach Hause.	But I haven't seen him since. - Tai Kok Tsui is Four-eyed Tong's territory. - He never liked me.	 
Casey Stoner stunned Valentino Rossi and everybody else in 2007, [pr] second year in MotoGP.	Casey Stoner verblüffte 2007 Valentino Rossi und alle anderen. Das war sein zweites MotoGP-Jahr.	The Australian didn't just beat Rossi to the world title that year, he wiped the floor with him, taking ten victories to the Italian's four. - Yamaha then signed Jorge Lorenzo as their second rider for 2008. - It was a statement.	 
Once the decision had been made to go ahead with the restoration of Salome, John O'Shea, the doyen of New Zealand filmmakers, was asked to oversee the task.	Als die Entscheidung gefallen war, Salome zu restaurieren wurde Filmaltmeister John O'Shea gebeten, das Projekt zu überwachen.	Interpreting what he wanted is very difficult but an editor is always faced with the problems of filling a director's wishes as best you can. - If he was here, of course, he'd tell you what to do, but an editor has got to try and divine what was in his mind. - With financial support from the New Zealand Film Commission, the painstaking restoration proceeded smoothly.	 
An increased level of criminal sophistication that suggests that [pr] understands police work and [pr] knows criminology.	Eine zunehmende kriminelle Raffinesse, die darauf hindeutet, dass er Polizeiarbeit versteht und Wissen über Kriminologie hat.	As such, I would put his age at mid-20s to mid-30s. - And he's intelligent. - Even highly intelligent.	 
If you should get near Wangcheng, and if you run into a man called Lin, Colonel Lin, would you give [pr] a message from me?	Sollten Sie in die Nähe von Wangcheng kommen und einem Oberst Lin begegnen, könnten Sie ihm eine Nachricht geben?	Tell him that you met a woman with 100 children only six days from the Yellow River. - And tell him to stay alive, just to stay alive. - - How good it was to see them eat.	 
Well, he's not a beast, Jackie. He's a human being.	Na ja, er ist keine Bestie, Jackie.	Now, he has done terrible things, but he is still capable of redemption. - Red John if you're listening to us now, I urge you to reach out and get help. You can change. - What the hell are you thinking?	 
O'Shea says they just meant to scare [pr] and the gun went off.	O'Shea sagt, sie wollten sie nur erschrecken. Dann ging die Waffe los.	But she hit him with her door, ran and they chased her so she wouldn't tell anyone. - And the beating they gave her? - Ray Jr. had a hockey stick.	 
And Jackie can tell me any story comes into [pr] pretty little head... as long as at the end of that story [pr] hands me my motherfuckin' money.	Jackie kann mir erzählen, was ihr in den Sinn kommt, solange sie mir am Ende der Geschichte mein Geld gibt.	Now, she wanna be my friend, she do that. - She don't want to be my friend no more... well, you just tell her to think about old Beaumont. - And if she go to the police... you tell her I will name her ass as my accessory.	 
- An angry young woman.	- Eine zornige junge Frau.	- She was just being Cordelia. - Only more so. - Don't pay any attention. - - She's got a chip goin'.	 
- You're related to Fazul Adel?	- Sind Sie mit Fazul Adel verwandt?	- Yes, I am his wife. - This is his stepson, Josef. - I'm afraid I have some bad news for you.	 
An unknown lady has arrived, [pr] face covered by a veil.	Eine Unbekannte ist eingetroffen. Ihr Antlitz verhüllt ein Schleier.	A woman! - Who is she? - She wouldn't say.	 
You remember Mr. O'Casey? - Sure.	- Erinnerst du dich an Mr. O'Casey?	- He liked you. - Thought you were bright. - He taught us some pretty edgy stuff.	 
An attraction that can't be quantified or explained.	Eine Anziehungskraft, die man nicht messen oder erklären kann.	Is that the reason behind this... - Loss of control? - Maybe the desire to get Hannah on my table was just a way to deny the effect she has on me.	 
But when I choose this holy site,... the birthplace of Rama,... sacred to Lord Krishna,... and wish to build a temple,... why all these questions?	Aber wenn man auf der heiligen Erde, auf der Gott Ram und Gott Krishna geboren wurden, einen Tempel bauen will, gibt es Fragen!	If you want to ask questions,... then question, the one... who's trying to stop construction. - Who is this PK? Is he Parwesh Khan? - (Muslim) or Pasha Khaman?	 
An epidemic of violence is what they're saying.	Epidemische Gewalt, sagen sie.	I was talking to one old boy from San Anselmo. - He says up there they're talking end-of-the-world kind of stuff. - - What are they doing?	 
Rana, Agnes had said that Milan had a rare blood group.	Rana, Agnes hat gesagt, dass Milan eine seltene Blutgruppe hatte.	"Bombay blood group." - Sir, if any person has a rare blood group... - Then he stores his blood with us.	 
Artie and I have talked about it a lot, and it's definitely what we want.	Artie und ich haben viel darüber geredet, wir wollen es auf jeden fall.	He just adores you. - Obviously, it's a huge decision, so you don't have to decide this second. - I didn't feel safe there.	 
An old friend gave this to me.	- Ich konnte es mir nicht aussuchen. Ein alter Freund hat mir das gegeben.	He said I would know when it was the right time to drink it. - - And now is the right time? - - I'm not sure.	 
An exquisite title, Mrs Bradley.	Ein vorzüglicher Titel, Mrs. Bradley.	"The butterﬂy to her brother bee did sing a song of spring." - '"Come, listen to my ode of thee, thou honey-making thing..." - Stop, please.	 
It's gift from Malcolm Merlyn.	Das ist ein Geschenk von Malcolm Merlyn.	He went looking for you. - It's Ra's al Ghul's, right? - Yep.	 
An ex music teacher who writes great children's songs.	- Der schreibt ganz tolle Kinderlieder.	A grown-up who calls himself Bello Bear? - - Of course he thinks it's uncool. - - The kids think he's cool.	 
Oh, I don't know, but we can't stop now. Jackie...	Ich weiß es nicht, aber jetzt können wir nicht mehr aufhören.	Wish me luck. - Unfortunately for her, in her haste, she leaves a tiny fragment of a thousand franc note behind clutched in the dead woman's fingers. - But even more unfortunately, she is seen by Madame Otterbourne leaving the cabin.	 
- I need a Mai Tai.	- Ich brauche einen Mai Tai.	- Yeah, go get her. - Mai Tai? - He needs some sex from a woman.	 
I guess. Um, could you tell me where I could find John Casey's locker?	Ähm, könnten Sie mir sagen, wo ich John Caseys Spind finden könnte?	What exactly is your relationship to Mr. Casey, if I may be so bold? - He's my friend. - And he asked me to get something out of his locker.	 
- Not while Mr. Emerson is here to entertain us.	- Nicht, solange Mr. Emerson da ist.	- No, no. - Read away. Nothing's funnier than having silly things read aloud. - And if Mr. Emerson finds us frivolous, he can go and look for tennis balls.	 
You haven't seen Chuck Finley in action.	Du hast Chuck Finley noch nicht in Aktion erlebt.	Somebody can't handle his liquor. - You know who I'm with? - You know who I am?	 
Casey, you said it yourself.	Casey, du hast es selbst gesagt.	The guy was a traitor. - Yeah, well, according to Beckman, so am I. - I'm lucky she didn't put a bullet in my head.	 
Malcolm Merlyn is in Starling City.	Malcolm Merlyn ist in Starling City.	There is a sadness in your voice. - Ta-er Al-Sahfer. - She has fallen.	 
An old woman turned out to be a vampire in [pr] seventies	Eine alte Frau über siebzig entpuppte sich als Vampir.	However, her power was very weak - How about you? - Where did you play?	 
An inspiration for the troops.	Eine Inspiration für die Truppen.	The young king in his shining armor fighting to defend the capital against the wicked old rebel. - He's only a boy. - Younger boys are off fighting his war.	 
Where the hell is Blair?	Wo zur Hölle ist Blair?	If she didn't want to come to Rome with me, she should've just said so. - Something came up. - Is she with Chuck?	 
Mr. Riley, my father is a criminal.	- Mr. Riley. Mein Vater ist ein Krimineller.	That's what they call him. - You saw what your father left for you here at the bank. - He loves you, you know?	 
Everything will be fine, Blair.	Alles wird wieder gut, Blair.	No matter what, Chuck has you, - - and he loves you. - The Empire is just a hotel.	 
well, I wouldn't like to be flown by Stevie Wonder either, to be honest.	Ich würde mich ehrlich gesagt auch nicht gerne von Stevie Wonder fliegen lassen.	And that's why you're here? - My alex was so proud of having a pilot for a husband. - She loves the uniform.	 
An opponent must be killed to be removed from the game.	Ein Gegner muss getötet werden, um vom Feld genommen zu werden.	If only wounded, he is replaced by a fresh thrall. - Is that clear, captain? - Yes, that's clear.	 
And from then on, Jackie was in view either of Mademoiselle Rosalie and Monsieur Doyle or Monsieur Ferguson and Mademoiselle Bowers, who injected [pr] with morphia and stayed with [pr] in [pr] cabin all night.	Ab da war Jackie entweder unter Aufsicht von Rosalie und Doyle... oder von Ferguson und Bowers, die ihr dann Morphium gab... und dann die ganze Nacht in ihrer Kabine blieb,	And Simon Doyle is also eliminated by reason of his broken leg. - I don't suppose he could walk very far? - Not one step, I assure you.	 
- Is that John Casey?	Ist das...? - Ist das John Casey?	- That is John Casey. Of course. - - Yeah. You know that he works here. - - Why?	 
But Lin told us to split up he'll be upset with us	Lin sagte doch, dass wir uns aufteilen sollen, er wird sicher sauer sein?	Forget about him he can't tell us what to do - Where did he get the gun? - I want to go home, I miss Mommy and Daddy	 
An explosion would cause an accident, not a pilot error.	Dann hätte eine Explosion den Unfall verursacht, nicht der Pilot.	I spoke to a man at the airline, and he seemed pretty annoyed by this theory. - - And.. - - Stop, stop, stop.	 
I met [pr] at Giada Ricci's carnival party.	Ich habe ihn auf einer Carnevale-Party kennengelernt.	Rumour has it that he used to be Europe's best exorcist. - - Are you pulling my leg? - - No.	 
An emergency call from Mrs Aurora Greenway in Houston for Emma Horton.	Ein Notruf für Emma Horton von Mrs Aurora Greenway aus Houston.	- Oh, no! - - She does that when the line's busy. - - Will you release?	 
Okay, and I don't want Blair throwing [pr] callboy in my face.	Okay, und ich habe keine Lust darauf, Blair mit ihrem Callboy zu sehen.	At least I could have gotten a more interesting stand-in than James. - Do you know how hard it is to find a good fake boyfriend on short notice? - Well, he was smart and fun at tea yesterday, and he's really cute, too.	 
An impressive act, sure to further ignite our cause.	Eine eindrucksvolle Tat, mit Sicherheit hilfreich für den weiteren Zweck unserer Sache.	I seek only to end it. - It is done, then? - She yet lives.	 
An excellent theory, hindered only by the fact that it is nigh on impossible.	Eine ausgezeichnete Theorie, die nur von der Tatsache behindert wird, dass das nahezu unmöglich ist.	It's completely possible. - Moriarty said he did things like this for a living. - Daren Sutter saw his sister's killer running away from her body.	 
For the 100th time, I don't like Riley.	Das hundertste Mal, ich stehe nicht auf Riley.	And whoever's in there, she isn't mine. - Who's got Emma? - Good morning.	 
I'm going to talk it over with Dr. Finley and see what [pr] thinks ought to be done.	Ich werde mit Dr. Finley reden, und sehen, was er vorschlägt.	You hate me. - - Where's Coventry? - It isn't a place. - It means he can't talk to anybody, and you can't talk to him.	 
I'll say this for Casey, he's got good instincts.	Zu Caseys Glück hat er gute Instinkte.	He's making a beeline for the back exit. - Which quite possibly leads into the arms of the CIA. - You need to acquire him now.	 
An old tenant from back in my father's day.	Er ist noch ein Mieter aus Vaters Zeiten.	I'd walk past him in the street. - Just a crooked, shabby guy. - I don't know...	 
[pr] is quite possibly the savior of Salem.	Er ist möglicherweise der Retter von Salem.	He holds the key. - I found him at the very epicenter of the plague. - And how does that aid us?	 
Riley, we're embarrassed by what happened.	Riley, das Ganze ist uns mehr als peinlich. Wir bringen eine Gegendarstellung.	We'll print a retraction. Nobody reads retractions. - You know that. They read the lie, the lie sticks. - Look. Mr. Kernan is here to offer his profound apologies... to you and your family, Mr. Satterfield.	 
An angel of love, as fair as ever, and still as generous of spirit.	Ein Engel der Liebe, immer sch ön und hochherzig wie sie war,	Oh! - I n no way does she deserve her cruel lot. - And what did she say to you?	 
Where the hell is Santana?	- Wo verdammt ist Santana?	Dropped him uptown. - So you've been driving this vehicle all night? - No, he picked me up at my cousin's and then I dropped him.	 
An old friend and mentor of Dana's was killed in a car accident two weeks ago.	Ein alter Freund und Mentor von Dana, starb vor zwei Wochen bei einem Autounfall.	Is it unusual for her not to come in? - Yes, but she's been distracted. - She's the executor of her friend's estate and had to get involved in the sale of the business-- an old bookstore in Dupont Circle.	 
I'm just waiting for the part where torturing this guy helps us find Casey.	Ich warte nur auf den Teil, bei dem das Foltern dieses Kerls uns dabei hilft, Casey zu finden.	I'm just getting started. - Give it time. - Trust me, the way you're threatening him, if he was gonna spill, he'd of done it by now.	 
Malcolm Merlyn is dead, courtesy of an arrow jammed through [pr] heart.	Als ich Malcol Merlyn das letzte Mal sah, war er tot. War einem Pfeil in seinem Herz zu verdanken.	It wasn't him. - It was a follower, an underling bent on revenge. - Whoever it was, he knows who I am.	 
Well, I'm sorry. An honest sailor is what I am.	Tut mir Leid, ich bin ein ehrlicher Seemann.	I make my living fair and I sleep well each night. - S-sir! - (bursar) She wants you to do something.	 
Merlyn set Slade loose as an object lesson.	Merlyn hat Slade freigelassen, als Anschauungsunterricht.	That's insane! - He thinks it'll help me regain my killer instinct. - If he doesn't kill us first!	 
What's [pr] like, aunt Pierrette? An ex stripper, they say.	Ehemalige Stripperin, sagen die Damen.	A talented artist, pure as an angel, says Chanel. What does it matter. - She does know how to take advantage of her feminine charms. - Can't blame her...	 
An argument between father and son.	Ein Streit zwischen Vater und Sohn.	After which the elder Van Garrett sent for his servant Masbath. - - Listen. - - I hear nothing.	 
I'm sure that's how it seemed, but I've known Peyton since college, and literally, every man who's ever met [pr] thought that they had a moment.	Ich bin sicher, das schien dir so, aber ich kenne Peyton seit dem College, und praktisch jeder Mann, der sie je getroffen hat, dachte, sie hatten einen Moment.	I've been a witness to all those poor guys who liked a challenge. - I've watched them approach her table, full of hope. - I've seen her turn them into dust.	 
There you are! An assassination!	Jetzt spricht man schon von einem Attentat!	Soon they'll say it was a plot! - I saw him! He's drunk! - He nearly fell in front of the truck!	 
- Harley was in trouble.	Genau. Harley hatte ein Problem.	He knew there was a wig out there somewhere made from Larysa's hair... - a wig full of her DNA. - He had to get it back before we tracked it down.	 
An uncomfortably long time, actually, but-but that's not the point.	Eine unbequeme, lange Zeit, eigentlich, aber... aber darum geht es nicht.	Thpoint is this. You and Chuck are in a relationship crisis. - Crisis? - Did he say something to you?	 
I did everything Mr. Merlyn required of me!	Ich habe alles getan, was Mr. Merlyn von mir verlangt hat!	He knows, Dr. Markov, and he thanks you for your service. - [Alarm sounding] Open the door! - Open the door!	 
An FBI agent might hate you, but if working with you gets [pr] out of an assignment [pr] hates even more, you've got yourself a partner. Hey, guys!	Ein FBI Agent mag dich hassen, aber wenn die Arbeit mit dir nutzen kann, um einen Auftrag loszuwerden, den er noch mehr hasst, hast du einen Partner.	What's going on, huh? - She looks dangerous. Cute, Sam. - You know you're interfering with a federal investigation?	 
When exactly did you first learn that Mr. Braga was your husband, Arthur Campbell's son?	- Wann genau haben Sie erfahren, dass Mr. Braga der Sohn Ihres Ehemannes Arthur Campbell ist?	June 9th in Arthur's hotel suite. - That's when he told me he had a son named Teo. - According to a mission report dated June the 12th, a CIA black Ops team raided the A.L.C. stronghold where Mr. Braga was located.	 
That's my schoolteacher, Miss Reilly.	Das ist meine Lehrerin, Miss Reilly.	And... - Oh, Jeez. - Look, that's my ex-wife and her alimony lawyer, and my brother Alvin.	 
- When we find Kimani, will you kill him?	- Wirst du Kimani töten? - Nein.	Then why do we hunt him? - He must not think I betrayed him. - If he trusts us, others will do likewise.	 
Otis Campbell's got to be hiding somewhere.	Otis Campbell muss irgendwo versteckt sein.	Smartest guy in the world, and this is the best he can do. - Maybe he's doing what he loves. - Delivering boxes was a childhood dream.	 
Lin, don't you think we're too young to get married?	Lin, denkst du nicht, dass wir zu jung für die Ehe sind?	we still haven't fooled around enough I'm sure you'd regret it lf l have a lovely wife I wouldn't mind to lose some of my freedom - Just go and take a look - You don't have to marry him if you don't like him I'm not getting married	 
An organization to gather and protect this new species and some day to reveal it as a great benefit to mankind.	Einer Organisation, die die neue Art sammeln und beschützen soll, und sie eines Tages als großen Vorteil für die Menschheit zu offenbaren.	So what exactly went wrong? - Well, he would never admit it, but, not having powers, he was always jealous of your father. - It left Jedikiah cool and easily influenced. - By whom? - The Founder?	 
Robin in the hood. An outlaw. The son of the Earl of Huntington, my godfather child.	Robin aus den Wäldern, ein Geächteter, ein Gesetzloser, der Sohn des Earl of Huntington, mein Patensohn.	We do not have much time. - This castle is a treasure valuable than anything in England. And he is yours. - You get him as inheritance.	 
So I called Robbie and I had [pr] come over, and I gave [pr] his stuff.	Also habe ich Robbie angerufen, ihn herüber gebeten und ihm sein Zeug gegeben.	Now you won't have to go through with all that mess. - And I think you'd be pleased, I really let him have it. - What is with you and boundaries?	 
You see, Rugal was able to get access to An exact replica of our plane of existence.	Und Rugal hat sich Zugang verschafft zu einer Kopie unserer Existenzebene.	This means he can use a portal to force Fighters into the tournament. (Rugal) Hey... - We have an appointment. - (Scott) She's in there.	 
But if we succeed, we give Artie the most awesome present ever!	Aber wenn wir erfolgreich sind, schenken wir Artie das geilste Geschenk aller Zeiten!	Entry key pad, motion sensors... none of it was triggered. - And you say he left through the chimney? - Look, I've already entertained the LAPD for an hour, and they stared at me like I was a nutjob.	 
Flight 691 to Rio de Janeiro.	Flug 691 nach Rio de Janeiro.	He didn't see me. - Did he see you? - No, I don't think so.	 
Ian will be grievously missed by [pr] wife, Adah... and [pr] daughters, Valerie and Lori... and [pr] mother, Chrissie Campbell.	Um Ian trauern seine Frau Adah, seine Töchter Valerie und Lori... und seine Mutter Chrissie Campbell.	And he also will be missed by his fellow officers. - Ian James Campbell has completed his tour of duty. - May the love of God be with you all.	 
And by the way, you do know Jill Casey.	Und nebenbei, Sie kennen Jill Casey.	You met her when you met me. Oh! - Of course that was Jill. - So how is her clinic doing?	 
Carey spent months working on it.	Carey arbeitete monatelang daran.	He used to joke that it wouldn't be finished by the time we got back to Earth. - He only had one nacelle to go. - We were able to download the probe's memory core.	 
"An error doesn't have to become a mistake until you refuse to correct it."	"Ein Irrtum wird nicht zwangsläufig zu einem Fehler es sei denn, Sie weigern sich, ihn zu korrigieren."	There were explosive developments with the incident at Broadway and Marcy this morning. - The revelation of a missing probation report may result in the handing up of indictments by the grand jury, of Supreme Court Judge Stern and Brooklyn Democratic leader Frank Anselmo. - His connections to Mafia chieftain Paul Zapatti are certain to be examined.	 
No, no, Casey-- Casey, wait.	Nein, nein, Casey... Casey, warte.	Quinn didn't get the Intersect. We did it! - We took down his team. - Okay, let's call Beckman. Call the authorities.	 
It's still Jackie... and there's some really bad stuff going on with her.	Es ist immer noch Jackie... und da ist wirklich übles Zeug bei ihr los.	I'm out, Zoe, I'm sorry. - She tore the cloth permanent. - This - There's nothing.	 
Lin sat there and gave Me an ultimatum, man.	Lin hat mir ein Ultimatum gestellt.	Either I bring him jax or he Was gonna kill me and go after My kid. - So it was my problem. I wasn't gonna bring you into - That, marcus.	 
An hour before we got together.	Eine Stunde bevor wir zusammen kamen.	So I stopped a guy in the casino, told him to take that note to the front desk. - To be delivered in the morning when you planned to be with me, above suspicion, right? - I was gonna tell you all about it after the championship was over.	 
We're here about Detective Kerry.	Es geht um Detective Kerry, unsere Kontaktperson.	She was our liaison. Open the door. You will find me. - What? - What's this?	 
I see contrast, great contrast An obstacle.	Ich sehe einen Streit, einen heftigen Streit, der euch im Weg steht.	This is your husband, he's far. The cards say he doesn't know. - - Does this person love me'? - - Yes, The obstacle's is death	 
Blair's been looking into, uh, Eva's past.	Blair hat sich, uh, Evas Vergangenheit angesehen.	Well, we can't be too surprised about that, can we? - She found something. - Eva is... or, at least she was... um...	 
To kill Casey and Anna. I don't understand. Why would he...	Um Casey und Anna umzubringen.	Because he was the married man with whom she was having an affair. - Obviously, she never introduced you. - Because he was also part of her plan to protect her money from her father's illegitimate children.	 
[pr] was a good kid, Jackie.	Sie war ein gutes Mädchen, Jackie.	I'm sure she was. - It's nice. - And unlike the guys I put away.	 
Lorin told me not to worry.	Lorin sagte, ich solle mich nicht sorgen.	He said he'd take care of the problem. - Did you know Sergeant Roe was murdered? - Everybody stay seated.	 
- Quaint like Peyton Place.	- Gemütlich wie Peyton Place.	- Oh, gee, I hope so. - "Troubled, uptight writer goes to small, sleepy town..." "...in search of peace and inspiration." - "Instead, she finds an erupting volcano of lust and passion."	 
Blair was inside a church for a half an hour.	Blair war eine halbe Stunde lang in einer Kirche.	Please tell me you didn't follow her inside. - I didn't wanna risk blowing my cover or bursting into flames. - What's going on?	 
Blair doesn't trust me anymore.	Blair vertraut mir nicht mehr.	No matter how this surgery plays out tomorrow, - Blair is a problem for both of us. - - He is not an easy man to kill.	 
Frankly, we're somewhat suspicious of Mr. Ravenwood. An American being mentioned so prominently in a secret Nazi cable.	Wir sind etwas misstrauisch bezüglich Mr Ravenwood, weil ihn die Nazis in ihrer Nachricht erwähnten.	Oh, rubbish. - Ravenwood's no Nazi. - Well, what do the Nazis want him for, then?	 
I remember in Spain, Carey did everything for me.	Ich weiß noch, damals in Spanien tat Carey einfach alles für mich.	When I didn't know something, she told me. - "You forgot everything but you're going to remember it now and, you know, this was Mom at the place we're living in with... - Do you remember?	 
Jackie's made some pretty serious accusations.	Jackie hat ein paar ziemlich ernste Anschuldigungen gemacht.	What do you have to say? - Dr. Cooper- A nurse working under me made a mistake... and as her immediate supervisor, I take full responsibility. - Okay.	 
I'm from Mr. Cedar's office.	Ich bin von Mr. Cedars Kanzlei.	He represents the complainant. - - Let's go. - We're wasting time. - All right.	 
You sign Jim Carrey so you can get the guy that created Drew Carey.	Man nimmt Jim Carrey unter Vertrag, damit man den Kerl kriegt, der Drew Carey schuf.	Right? - Jay fired his agency yesterday, and we have to nail this guy. - - So why am I going?	 
So irresponsible. Casey has allergies.	- Casey hat Allergien.	The slightest thing sets him off. - I wouldn't worry about it, Mrs. Finnigan. - Well... why don't you come again Saturday?	 
An excellent example of inter-agency cooperation.	Ein exzellentes Beispiel für interne Behörden Kooperation	Shut up. - Just tell me his name. - Thanks.	 
- No:  [pr] wears Armani, makes little six figures, drives BMW and she's falling for a senior partner at [pr] law firm.	Nein, sie trägt Armani, verdient 6-stellig, fährt einen BMW... und ist einem Seniorpartner in ihrer Anwaltskanzlei verfallen.	- Nothing but a trouble, Hank. - - Why can't you look at her ass like the rest of us? - I can't. - - C'mon, Nick.	 
Stevie, I woke up one day and found that life was duty.	Stevie, eines Tage wachte ich auf und empfand das Leben nur als Pflicht.	And then Michael came to us... and brought with him, not only his dedication... but also his joy of life. - And you can watch him face death every day? - Caring for him the way you do, I...	 
An we ended up in this house in the middle of nowhere.	Dann kamen wir zu einem Haus, mitten in der Wüste.	That's when we was thinking, "Where the hell are we? - What's happening?" - This guy used to come to us and we used to ask him every day. Then one day he came and took us to Kunduz.	 
An inerasable figure of deep sadness,	Unauslöschbare Zeichen tiefen Kummers,	Genius and Hell left their mark. - He had an imbecilic humility, that only a morbid pity held back my laughter. - He scraped along the way the floor with his foot!	 
An Egyptian expedition found a graveyard full of ivory near the great Inland Sea.	Eine ägyptische Expedition fand einen Friedhof voller Elfenbein nahe des großen Binnensees.	But do you believe it's authentic? - My friend in the museum didn't think so. - But then, he didn't believe in the seat of my pants either.	 
No, Toby's An Animal, And My Husband, A Human Being,	Nein, Toby ist ein Tier, und mein Mann, ein menschliches	Will Get Very Sick If He Stays Down Here, - So, Please, Put The Cat Upstairs. - Look, I Invited Ida To Come Here.	 
Don't start with Artie, because [pr] won't stand for the same shit I do.	Fang nicht auch noch mit Artie an. Der lässt sich das nicht bieten.	You're not listening. - I won't start with Artie... I'll finish with Artie! - I thought she was just threatening me.	 
An odourless, tasteless flammable liquid yet it burned with an unusual pink issue.	Eine geruchlose, geschmacksneutrale, brennbare Flüssigkeit, deren Flamme rosa brannte.	Did Standish mistake it for rain as he entered the temple. - All it took was a spark. - A simple rigged bullet in his gun.	 
We can't just leave Artie in here,	Wir können Artie einfach nicht hier drin lassen.	I mean, his brain is shutting down, he could get stuck. - And if you stay, you could get lost in here, too. - He wasn't want that.	 
An unidentified virus strain is rapidly spreading across the state of New Jersey.	Ein unbekannter Virus breitet sich rapide im Staat New Jersey aus.	She was crying. - Thanks, Tommy. - I used to work in dangerous places and people who moved survived, and those who didn't...	 
To ensure success, we need Topper Harley.	Und wir brauchen Topper Harhey.	We've located him in the Far East. - Topper Harley. - We've served together before, sir.	 
An empty grave is there to prove my Savior lives	Ein leeres Grab ist der Beweis, dass mein Erlöser lebt.	Because he lives I can face tomorrow - Because he lives All fear is gone - Because I know he holds the future	 
An animal must have eaten her.	Da hätte doch irgendein Tier sie angefressen.	He had the body somewhere else and then he put it there. - -What do you say who examined it? - -The case is closed.	 
An absolutely fine man and really good.	Ein absolut feiner Mensch und wirklich gut.	A very well-mannered person. - I can only say the best things about him. - Most of all, he was competent.	 
- Campbell died on [pr] return run.	- Campbell starb auf dem Rückweg.	- But he died chasing a dream. - - Isn't that the way to go? - - I'd rather not go at all.	 
Looks like the same gun that killed Casey McManus.	Sieht nach derselben Waffe aus, die Casey McManus umgebracht hat.	Well, given Casey McManus' neighbor has been in custody since last night, I'd say that officially clears him of the murder, wouldn't you? - Well, I'm big enough to admit when I'm wrong. Doesn't mean he didn't lie about the neighbor he claimed to see. - Shooter was seated again.	 
And you're aware that you're going to get yourselves killed without Casey?	Und Ihnen ist klar, dass Sie ohne Casey draufgehen werden?	I decided to let her in after we had an adult conversation. - What are you doing here, Verbanski? - Ease up, I'm not here to steal any of your "precious secrets."	 
The morning of my 25th birthday, I look out my dorm window, and there parked outside is a vintage Harley registered in my name.	Am Morgen meines 25. Geburtstages blickte ich aus dem Schlafzimmerfenster. Und was bekam ich zu sehen? Eine restaurierte Harley-Davidson, die auf meinen Namen zugelassen war.	I have no idea how he pulled that off. - Come on. - I'm serious.	 
- Because I don't want to be hated at ZBZ, which I will be if Casey sees me as an enemy.	- Weil ich nicht gehasst werden möchte im ZBZ, was passieren wird, wenn Casey mich als Feind ansieht.	I want it all, and the only way I can have it is if I can prove to Casey that I am still her friend and Big Sis. - Before we tell her. - You've had a week. So hurry up.	 
An' when the Christians turn their backs you start behaving' like Sodom an' Gomorrah	Und sobald die Christen ihren Rücken kehren führt ihr euch auf wie Sodom und Gomorra	It's a Gawd's wonder de Lord don't sen' His living' fire to burn you offen de face of de earth - An' you, Jake, always so loudmouth at church meeting - Tell me when did you start workin' for de devil?	 
- Blair is sort of in there right now.	Uh ... Blair ist gerade dort drinnen.	Which is why I need you to grab it. - She can get curious, - and right now is not a good time. - - Oh, God! Yes!	 
Listen, I understand why you can't kill Merlyn, all of the reasons.	Hör mal, ich verstehe, warum du Merlyn nicht töten kannst, vollkommen.	Maybe he killed Sara, maybe he didn't. - He didn't. - Either way!	 
I have to be Blair Waldorf before I can be Chuck Bass' girlfriend.	Ich muss Blair Waldorf sein, bevor ich Chuck Bass' Freundin sein kann.	If two people are meant to be together, eventually they'll find their way back. - - I gave up on your mother visiting. - - I wish she could see how you're doing.	 
Blair, [pr] almost died holding onto that ring and to the hope of you.	Blair, er ist fast dabei gestorben, den Ring festzuhalten und die Hoffnung auf dich.	I forgave him for something that no one else in the world would ever get over. Then he turned around and did the one thing he knew I could never let go. - But you don't need to forgive him. - You don't even need to talk to him again after today.	 
[pr] got Stevie Wonder to sing for me under London Bridge.	Er brachte Stevie Wonder dazu, für mich unter der London Bridge zu singen.	Stevie Wonder sang in 1814? - Yes, he did! - But you must never tell him.	 
Casey, we're real close, honey.	Casey, wir sind nah dran.	Is it a stolen vehicle? - No, no. Registration's for this white Ford Explorer, so he switched plates. - - Switched plates.	 
And I also found out why Colleen Sutton is so damn rich.	Und ich weiß jetzt, warum Colleen Sutton so reich ist.	Besides the Sutton Estate, she also gets a little additional green à la alimony from... ..dramatic pause... your pal Julian Grendel. - - Her ex-husband. - - That explains a lot, but I can't talk now.	 
Apparently, there are those in Salem who are not above threatening the lives of children. Hm.	Offensichtlich, sind da Leute in Salem... die keinen Hehl daraus machen, Kinder zu bedrohen.	She's no child, magistrate. - Certainly not, judging by the way she lusts for John Alden. - Mrs. Sibley.	 
An internal analysis of what they were willing to pay.	Eine interne Analyse, wie viel Geld sie bereit sind, zu zahlen.	Does she have a copy? - No. - He just showed it to her.	 
