src	trg	src_ctx	gender
It was. It was great.	C'était génial!	Just okay. - It was great. - Say it was great. Say it was great! - It was great, it was great, it was great. - It was great.	 
♪ it ain't yours to throw away ♪	♪ Ce n'est pas à toi de t'en débarrasser ♪	♪ and worn-out shoes and Broadway blues ♪ - ♪ and any fool will tell you the damn ol' deck is stacked ♪ - ♪ what if you're just a vessel ♪ - ♪ and God gave you something special? - ♪	 
I couldn't risk passing it on to them.	Je ne pouvais pas risquer de la lui transmettre.	For over 20 years, she was his caretaker. - And it wasn't fair to her. - And it wouldn't have been fair to you. - And worse, it's... it's hereditary. - And I know how badly you wanted to have children.	 
When Johnny fulfilled 21 years. Mary Ann wanted to lead it to lunch.	Le jour des 21 ans de Johnny, Mary Ann voulait l'emmener déjeuner.	Ben did not like the idea But to Johnny I did not matter him. - That loved those boys. - Hello. - Mio God. - Did you give me a gobo?	 
Save it for the honeymoon.	Gardez ça pour la lune de miel.	Oozing sore! - I don't see anything. - Makeup! - Great stuff! - Hey, take it easy, stud.	 
How long will it take?	Combien de temps faut-il ?	How did he reach Hazratbal mosque? - -And in a police uniform? - -Khan-saab, Hazratbal is so crowded. - -They took these shots on a Friday. - -My God, today is Friday.	 
Geez. I'm sorry I brought it up.	Ok, Désolé d'avoir parlé de ça.	- Okay, I'm sorry. - - And in the end, every villain gets unmasked and gives a detailed confession of his whole plan. - Like Scoob couldn't have figured it out himself 'cause he's such a "ridiot." - And don't even get me started on Scooby-Dum. - I'll lose my shit.	 
To save a life instead of taking it away. That's power.	Sauver une vie plutôt que de la prendre, c'est ça, le pouvoir.	Hitler himself made that a standing order. - If that's the case, then... why the others? - We hold positions of power, Mr. Travers. - Men look to us for leadership. - Saving you and your men... was the first time in all my years of service I actually felt powerful.	 
- It doesn't feel right.	- Je ne le sens pas.	- I can't believe he didn't see it. - - Dumb Smokey. - - How about right here? - - No, it's not good. - - What's wrong with here?	 
It was great. The gallery liked my paintings.	La galerie a aimé mes peintures.	Let's just sit, have this food and talk for a bit first. - What do you want to talk about? - I don't know. Anything. - Ask me something. - How was your trip?	 
For Lester, I bet it was great.	Pour Lester, j'imagine que c'était bien.	But if I showed up with fifty, would you be any less mad? - Probably not. - I was 17. - And Lester, he... he told me a lot of stories about what life would be like in New York. - What was it like?	 
Well, I can't make it skip like you.	Je ne peux pas la faire rebondir comme vous.	No. - It was right that I came back. - You mustn't feel like that. - No. - Try it.	 
He wants to keep it all... tidy.	Il veut que tout reste... net.	Well, maybe he's so convinced that we got it right that what I say just bounces off him. - And you don't think so? - Unlikely. - Or maybe he doesn't like the mess. - We've got to tidy.	 
- Very good. - Let's keep it that way.	Continuons comme ça.	- The w-what? The ling-- - N- - Hey, there's no one here. - - Are you sure? - - Hey, you think I'm a fuckin' idiot? - - I want to get this over with.	 
It must have been a shock.	Ma pauvre enfant, ça a dû être un choc...	Some guy shot him in the eyes. - - Really? He's blind? - - Dead. - He's dead, of course, cos the bullets go right through. - Oh, my God, you poor thing.	 
We just were helping her clean it out.	On l'aidait juste à le ranger.	Nothing. - Just a typical ladies brunch. - Well, I don't know what you did, but you two convinced Tina to show you her secret Hoarder's closet. - - I mean, no one's ever seen that. - - Oh, it was no biggie.	 
You make it the perfect time.	Vous en faîtes le parfait instant.	I know it sounds quaint, but I believe in marriage. - Are you saying propose? - Oh, Gavin, I, uh... - I don't think this is the right time. - Then you make it the right time.	 
I can't let it slip by.	Je peux pas laisser passer ça	Mattia and I grew up together, he's a good kid. - - But he can't insult me. - - He has an Oedipus complex. - Personal problems can't be dumped on others. - You won't really report him!	 
Unless you want to use it, you keep it as a souvenir.	Si tu ne veux pas l'utiliser Tu dois le gardez comme souvenir.	Mine? - No. - I can't accept it. - I told you I couldn't... - Uncle Tup meant to make it for you.	 
Don't take it personally.	Ne le prends pas mal.	Flynn? You know about this Flynn thing? - Okay. Flynn. Yeah. - I don't know. - It's what he likes to be called these days. - What's wrong with Walter Jr?	 
Could you please just swipe it again?	Pouvez-vous la repasser s'il vous plaît ?	A bizarre attack at Leisure Horizons... - - His son appeared... - - Machine is slow tonight. - ... and viciously assaulted his father in a corridor outside his room. - I know it's good.	 
Don't take it personally.	Ne le prends pas pour toi.	You know what? - I think I'm gonna walk to school. - - Really? - Yeah. - We don't have to do the same thing everyday. - Maybe it's time to shake things up a bit.	 
To put it simply.	Pour faire simple.	Because I wanted to forget the time I appeared before you 8 years ago. - What are you saying? - Did we meet each other 8 years ago? - Am I really that insignificant to you? - Or are you pretending to forget because of your guilty conscience?	 
I wanted to blow it up, so I did.	Je voulais le faire exploser, donc je l'ai fait.	I know you don't want me here, I don't even want to be here, all right? - I didn't come here for me. I fucking came here for her. - Now, she's been trying to tell you guys something, but you're too fucked up to listen, so if you'll just shut up for a second, I'm gonna say what I want to say. - Then you'll never see me again. - I pulled this gas tank from an old Chevy.	 
My ring. I can't get it to work.	Je n'arrive pas à l'utiliser.	I'll be back with the cavalry. - We are betrayed! - And you led them here! - Sorry, honey, I'm too good for that. - Stewart, what are you doing?	 
Well, we're gonna have to figure it out.	Il faudra trouver un moyen.	The minute we finish the burn, we'll power down the LEM. - Now in the meantime, we're gonna have a frozen command module up there. - We're gonna have to power it up using nothing but the reentry batteries. - - That's never been tried. - - We've never even simulated it before.	 
And they didn't teach me to use it properly.	Et ils m'ont pas bien formé.	Mr. Trautwig? - Is that you? - Who's there? - What the fuck? - Listen, they gave me a gun, okay?	 
You can eat it in the car.	Tu pourras la manger dans la voiture.	I'll see you later. - What about some fruit? - - Pretzels? - - A fruit. - Here. Take an apple.	 
I do have a choice, chloe, and i'm making it right now.	Je peux choisir, Chloé, et je le fais maintenant.	I understand that. - Okay, i know what you're thinking, Clark. - The last time you meddled with the past, It cost your father his life. - But, Clark, look at what's at stake. - You don't have a choice.	 
It was great.	Super.	When you're hot... you're hot. - - It's okay to laugh. - - No, it isn't. - - It isn't hip. - It turns me on, darling. - So how was your day?	 
Why, is it important?	C'est important?	Well, I was just wondering why shejust didn't keep her clubs in the locker room? - She did. That's an extra set she used to take lessons with. - Oh, I see. Well, that explains it. - Uh, you mean she didn't take lessons at her own club? She took them someplace else? - Sky Lane.	 
I worked four days cleaning it up.	J'ai travaillé des jours pour la nettoyer.	- Yes. - Can you believe it? - Good for him. - Good? - My store was a mess.	 
I don't take it personally.	OK. Je ne le prends pas personnellement.	Hadrien! - Hadrien... - You saved me again. - It's unbelievable. - A man like you, so simple...	 
- What's it about?	- C'est quoi le sujet?	- Would you like to come in? - - What do you do? - - I've been away for a while. - Travelling. - And now I'm writing a novel.	 
You'd do better to stitch it up and let it heal.	vous feriez mieux de la suturer et de la laisser guérir.	He's leaving the village in the morning. - The 11 o'clock train. - I'll tell you what it is. - It's an open wound. - I don't know why but I do know this:	 
We shall read it aloud so that we may decipher it.	Lisons-la à haute voix pour la déchiffrer.	This just came from Mr. Elton. - He claims it is a riddle for your collection, but I think it is much better! - - Is it about sharks? - - For heaven's sake, why would he write a riddle about sharks? - Oh, please, I'm in a tremor. Tell me what it means.	 
Let's just take it easy, okay?	On se calme, d'accord ?	Not mortally, yet. - What's going on? - I'd love to chat with you, Lisbon, but there's a man here with a large gun, who wants to talk to you. - Who's this? - Mr. Crosswhite, this is Agent Lisbon.	 
Don't take it personally.	Ne le prenez pas personnellement.	Can't wait to meet her. - Well, don't get too excited. - If she loses, you're out of a job in two weeks. - Okay, with the balloon guy-- we're selling America here, not cell phones, people! - Come on!	 
Keep this area secure; we want to check it again.	Sécurisez la zone, on la réexamine.	Just ten more minutes and we were on our way out of the park. - Then my son... begged for just one more ride. - Just one more ride. - I should've said no. - Why didn't I say no?	 
Oh! It was great.	C'était génial.	_ - _ (Clatter) - _ - What a strangely inefficient way to communicate. - Tell me about your wedding, Debbie Weaver.	 
- I can look it up.	- Je peux vérifier.	Do you mind if I ask you, when is your anniversary? - Your wedding anniversary? - Are you serious? - Oh, I'm sorry. - I didn't mean to pry.	 
It concerns Mickey, and I want to clear that up.	C'est au sujet de Mickey... et je veux mettre les choses au clair.	For instance, my name isn't Ann. - And I have lived with people before, but it was always... like research. - Maybe I should listen to this in the morning. - I've had a rough night. - It shouldn't wait until morning.	 
- It was worth a shot.	- Fallait que je tente.	That's not my boss. - Gotta hand it to you rich boy. - You sure do know how to pick out the bling. - - I'm sorry, Kenzi. - Whoa! - - Put those away, sir!	 
Okay, let's just find it before she gets back.	Ok, allons le trouver avant qu'elle revienne.	I'll call you when it's done. - Why would he call you guys before me? - Well, dude, you're not great in a crisis. - What was that story you were prattling on about? - What the hell is a kinkajou?	 
Put it back.	Repose-le.	Spurs. - Bought them in Santa Fe. - Said that he wanted to be the first Chinese cowboy. - Remember that time he tried to get the Indian maids to reenact Custer's last stand? - Liao was Custer.	 
- Where's the knob to make it a bigger picture?	Où est le bouton pour une plus grande photo ?	What? - - Make it bigger? - - Well, okay, just... - - Make the picture bigger. - - Okay, here.	 
They can see it for themselves.	Ils le voient eux-mêmes.	And how do you know? - I see their faces when they come back. - But they come back as rich people. - With cars. - You're putting that into your children's heads, and about going away...	 
What's it about?	C'est pourquoi ?	And he was always trying to organize a game at the bar. - I was going to be a cheerleader. - I get the vapors just thinking about it. - You, uh, Timmy O'Brien? - Yeah.	 
I can remove it if Your Majesty so wishes.	Je peux les retirer si Votre Majesté le désire.	A French arrow. - My physicians have done their best - - but it still pains me somewhat. - - May I? - I expect that there's probably still so a arrow in there.	 
You will put it back.	Remettez-le en place.	Is it possible that you're recirculating air, running heating plants, purifying water? - Indeed, captain, that is unquestionably part of what I am doing. - - He must stay. He must stay! - - He will not stay. - Now, you took his brain.	 
It was great.	C'était génial!	It was... okay. - Just okay. - It was great. - Say it was great. Say it was great! - It was great, it was great, it was great.	 
I'II try not to take it personally.	- On va essayer de pas le prendre personnel.	- Do I know you? - - I'm Naomie. - You're so young. - I'm only a year younger than he is. - Don't take it personally, but... I really don't get what he sees in you.	 
Aw. Oh, I was only able to get it on a cd.	Oh, je n'étais capable que de l'avoir sur un cd	By the way, Karen, I got that song you wanted for your... funeral. - Oh, thank you, Bree. - Johnny Mathis. - My girlfriends and I taught each other to dance listening to "Wonderful! - Wonderful!"	 
Well, you want to share it with me, Father?	Vous voulez la partager avec moi ?	Uh-huh. You sure that's what you want to do? - Well, can you think of a better idea, Father? - A better idea? - Yeah. Yeah. - A better idea?	 
That might help you forget, But it won't make it go away.	Ça t'aide peut-être à oublier, mais ça ne t'en débarrassera pas.	You look like hell. - I'm fine. Come on, man. - I'm a jazz musician in New Orleans. - I know what it looks like when someone's not well. - This may be the one time I can tell you something That you don't already know.	 
It has to happen when he's in his car.	Ça doit se passer quand il est dans sa voiture.	I think it's kind of like popcorn, you know? When it stops making noise, it's done. - Or they're dead. - Griffin. - What? - When? No, can't be done at the airport.	 
You can take it or leave it.	A prendre ou à laisser.	Let's lighten up. - This town is hot, and so are you. - You're on every goddamn channel. - You got no one else you can trust but me. - I'm going to let you walk with one.	 
All right, look at it this way.	Vois-le comme ça :	All right, now, Lake put Cerf on this jury to influence others, right? - He probably used threats, bribes, but on all 11 jurors and nobody talked? - Well, Lake didn't need all of them. Well, he needed a unanimous vote, though. - But a consistent minority is often more influential than a majority. - I'm usually one for drinking the math Kool-Aid, but that doesn't sound right. (chuckling):	 
How long will it take? There and back?	Combien de temps ça prend ?	They're parked on the lawn outside of the administration building. - -How do we get there? -We go through the underground. - It comes up outside G1 . - -l want to see the route first. - -All right, let's go.	 
I can't make it go further.	- Je peux pas le faire aller plus loin.	You wanted us under the radar. That's where we are. - - Out of range of anyone. - - Then make it go further. - - I... - What? - Make the signal go further.	 
I wouldn't take it personally.	Le prends pas pour toi.	-'Cause he doesn't speak of you at all. - Really? - I don't know how Tyler found this place. - It feels like we're walking in circles. - Hey, your friend Javier doesn't like me much, does he?	 
We could just take it out for the photo shoot.	On pourrait la mette dehors le temps du shooting photo.	Nothing. - Nothing at all. - The chair is perfect. - It's just... you know, does it really have to be here "all the time"? - Why did you just air-quote that?	 
I'll pick it up at 9:30.	Je passerai la prendre à 9h30.	Yeah, let me think. - 81 Powis Square, Notting Hill Gate. - He can come here. - 81 Powis Square, Notting Hill Gate. 81 Powis Square, Notting Hill Gate. - You'll pick it up at 9:30.	 
You can't see it from here.	Tu ne peux pas le voir d'ici.	Lowering of the flag. - Stand and put your hand over your heart. - Well, where's the flag? - In front of headquarters. - And where's that?	 
Yes. It was great.	C'était génial.	What time did you get home? - I got home around 6:00, and, um, he normally gets home by 7:00. - And when he wasn't home by 8:00, I called his work, and they said he left early. - So when he didn't come home, I called the police. - Was everything going okay with your marriage?	 
But I'm willing to let it all go.	Mais je suis prêt à laisser ça derrière moi.	It worked for me. - I took all my past mistakes, turned them into something positive. - Look, Liam, - I did a lot of stuff that I can't take back. - So did you.	 
Okay, the truth is... It breaks my heart to see her now.	A vrai dire ça me brise le coeur.	The home is somewhere over in Lakeview. - Lakeview? - Oh, you gave me the impression that she was back east. - Well, that's because, frankly, I wanted to avoid this conversation. - But if she's only 30 minutes away, why haven't you been visiting her?	 
And as crazy as it sounds, I couldn't stand it.	Ça peut paraître insensé, mais je n'ai pas pu le supporter.	And he gave it to you? - It took some convincing, but, yeah, I finally got it. - I just wanted to talk to her, try to explain. - But I saw Cody strapped in the car. - Asgar said you're not supposed to leave the dolls in hot cars because the paint can warp and the vinyl can melt.	 
IT WAS GREAT. REALLY.	C'était...	OTHERS WILL DO IT FOR US. - WE, THE SURVIVORS OF THE BIG DEATH, HAVE GROWN TO ADULTHOOD IN THE SHADOW OF THE GREATEST DISASTER - THE LAST 16 YEARS HAVE BEEN UNIMAGINABLY BRUTAL, BUT THERE COMES A TIME WHEN YOU HAVE TO STOP LOOKING BACKWARD - WE BEGIN PUTTING THE WORLD BACK TOGETHER AGAIN. IN THIS ROOM, WE WILL DETERMINE THE SHAPE OF THE WORLD TO COME. - WHAT DO YOU THINK? IT WAS...	 
What's it about?	Ça parle de quoi ?	How the hell did they find him? - Demands an immediate trial for his numerous crimes. - And if found guilty by the power of Texas law, he won't live to see another sunrise. - Human Torch. - It's your comic.	 
Cut! Sorry we're doing it again.	on la refait.	You can't forget who you are, Gil Ra Im! - What? - Director Yoon. - This is a misunderstanding. - Sorry. I get what you're saying, so why don't we go over there and talk over a smoke?	 
Well, you don't have to say it like that.	Tu n'es pas obligée de le dire sur ce ton.	It's so crazy, but... - She's got this idea you might be... - - What? - - In love with me. - In love with you?	 
One can't simply chop it up like cabbage.	On ne pas la couper comme un vulgaire chou.	Each one of us shall assume command of one region. - Sounds reasonable. - Who gets what? - I haven't considered that yet. - But Rome is a very complex machine.	 
Repeat after me, but make it sound casual.	Répétez après moi, que ça ait l'air naturel.	What'd you see happen? - If you were a diabetic and you didn't have money for insulin would you steal to get the money or just die? - I think you better go back to the, you know, prepared text there, Fred. - I forgot it. - I think I have a block against this shit.	 
You may need to say it again.	Tu auras peut être besoin de le revoir.	- I left her a message. - - Yeah, we heard it. - And it sounded like you were underwater and Caleb was laughing in the background. - He was watching a guy eat his own beard on YouTube. - Classy.	 
'Cause the tenacity, we can bring it up to an 11.	Avec la ténacité, on peut l'élever jusqu'à un 11.	♪ keep on survivin' ♪ - Oh, whoa, that ending got a little ♪ confusing ♪ - - Got a little ♪ flat ♪ too. - - I forgot the words. - [School bell rings]	 
Is it important?	C'est important?	There's something I want you to check. - Can't Doc Perkins do it? - I don't want to destroy his confidence. - Yeah, but State Homicide operates on a budget. - This stuff costs money.	 
It was great. Our parents thought it would be fun and charitable... to have a round robin of other kids constantly passing through our house... stealing things and getting arrested.	Nos parents trouvaient que c'était amusant et charitable d'accueillir une flopée de gosses qui allaient et venaient, qui volaient et étaient arrêtés.	Because America loves an underdog... and Will Sterling is a lot better of a story than Paul Moskowitz. - Wouldn't you rather get advice from an ex-con... who heroically rose from the ashes... than a boring middle-class kid who wants to be an actor? - Now, where did you guys find Will? - Coma Will? - He's our foster brother.	 
I couldn't find it for a whole week.	je l'ai cherchée pendant une semaine.	Glad to. - You sure you had them both on when you came? - Quite sure. - It's funny how things keep disappearing around here. - Like that slipper.	 
Don't take it personally.	Ne le prends pas personnellement.	- No. No way. - All these rooms just sitting here empty? - The rooms will be fine. - I just hate to see this whole house sitting here empty. - Oh, it's so sad. No.	 
It was great, it was great, it was great.	C'était génial!	What about you? - It was... okay. - Just okay. - It was great. - Say it was great. Say it was great!	 
Do it fast.She's gonna be late.	Fais vite. Elle sera en retard.	You know what? I really am. - There's something about going to work that makes you feel like you're... - I don't know, worth something. - No offense, mom. - Listen... I wanna give you some advice.	 
- I'm sorry, I just, look... she threatened to tell you and I just thought you should hear it from me.	- Je suis désolé. C'est juste... Elle a menacé de tout te dire.	I was pretty wasted and I... never... really saw the girl again. - Until now. - Until now...? - Haley, listen, I swear, I hadn't even heard of you when this happened, okay? - - Taylor?	 
You could touch it if you want.	Tu peux toucher si tu veux.	- Oh, um, I'm sorry. - - No. It's fine. - You could put it on me if... - if that'll help or whatever. - Okay.	 
Shut it down!	Arrêtez-le !	- Two million kelvin. - - Activate the laser. - Four million kelvin. - You don't have it. - It's unstable.	 
No, it's time consuming. Roll it in a ball and have it ready to hand off to the maid.	Non, ça prend du temps, mets le en boule et tiens-toi prêt à le donner à la bonne.	Drink cart's here. - It's knock, knock. Open the door. "Hi." "Hi." Turn left, veer right, past the couch, we're at the booze. - Uh, yeah. Shouldn't you get a massage or something? - - Take off your coat. - - It's cold.	 
It was great.	Délicieux.	- You think you can put on some new clothes... - Vince, that's enough! Say some nice things, all of a sudden you different? - No, you the same man. - - I should go, okay? - Oh, no. - Baby, thank you for dinner. It was... it was great.	 
i tell you, after the last few months, with everything that's happened, I couldn't have done it without you.	Je vais vous dire: après ces derniers mois, avec tout ce qui s'est passé, je n'aurais rien pu faire sans vous.	I mean, you get cocky, you get sloppy. - A fine detective, you really think so? - I'd make a good partner then? - Oh,youjostlingfor space on the letterhead? - Forstarters.	 
You're obliged to take it easy.	Tu vas devoir te reposer.	- You likely ruptured yourself. - - Please to hush, Ora. - Is it easier, Pa? - Feels mighty good, laving down this way. - Hardly feel it.	 
We can't just make it go away.	On ne peut pas le régler comme ça.	You have to get me out of here, otherwise is just gonna get worse! - Listen, I am a lieutenant now. - I can't just bend the rules like I used to. - Even if I could, this is legal problems, you know? - I- - I can't just make those go away.	 
And it was great.	Et c'était génial.	The Clapper? - Anyway. - When Lou says he's going to raise the rent 11%, - I'm going to remember making out with Chris Collins in the parking lot of the 7-Eleven. - And...?	 
How could you think you could mess it up?	Comment peux-tu penser que tu aurais pu rater quelque-chose ?	- good night. - later,hills. - So what's next on our Hillary-approved itinerary? - How'd you know? - Cause she had that glint of a job well done in her eyes. - I didn't want to mess anything up.	 
You can put it in the trophy room.	Mets-le dans la salle des trophées.	It says John "Eagle" du Pont. - That's right. - First place? - You funded this. - Presumably.	 
We can put it back.	On peut le remettre.	- While you two were out playing blazer tag... - That's laser tag with sport coats. - I did a little extreme bedroom makeover! - I unbunked your beds and got scrap fabric and... - - [High-pitched whine] - It's okay, buddy.	 
Good Aaron, wilt thou help to chop it off?	Bon Aaron, veux-tu m'aider à la trancher ?	Let us that have our tongues plot some device of further misery to make us wondered at in time to come. - Titus Andronicus, my Lord the emperor sends thee this word- that if thou love thy sons, let Marcus, Lucius, or thyself, old Titus, or any one of you chop off your hand and send it to the king. - He for the same will send thee hither both thy sons alive, and that shall be the ransom for their fault. - O gracious Emperor! - O gentle Aaron! Did ever raven sing so like a lark? With all my heart, I'll send His Majesty my hand.	 
Don't maybe see never it again.	Elle pourrait ne plus jamais la revoir.	Mother dares she no longer can to feed both. - In order to survive, it should move away Nanu of their side. - This separation is the most difficult trance that Nanu has happened. - But it is also difficult for their mother. - She cannot continue protecting to their breeding not even to know how he/she goes him/her.	 
I'm afraid I won't be able to get it for you.	Je ne pourrai pas l'avoir.	We must accept them as we do the rest of God's creatures. - Each has a function in its own world. - But what if circumstances magnified one of them in size and strength? Took it out of its primitive world and turned it loose in ours? - Then expect something that's fiercer... more cruel and deadly than anything that ever walked the earth. - How about Dr. Hastings' call to Desert Rock?	 
No, no, I'll save it for later.	Non, je le garde pour plus tard.	With your back? - No, I am el tabaquero. - I roll cigars. - 100% Cuban tobacco. - Thank you.	 
Good, let's keep it that way.	Bien, laisse tomber.	Well, Wes was a soldier. - I mean, maybe it was his serial number. - Not in any branch of the armed forces I've ever heard of. - I've run the numbers through every search engine on the web. - I got diddlysquat.	 
Thank you for recovering it for us, Lord Tegana.	Merci de l'avoir récupérée pour nous, seigneur Tegana.	- Your husband-to-be has asked the Khan to excuse you. - He promises to take you away from Peking as soon as the marriage ceremony is over. - - And the Khan has agreed? - - You are to be married tomorrow morning. - So this is our flying caravan!	 
All right. Let's try it again.	D'accord, réessayons.	You're like a new and undiscovered species of dork. - Ow. - Clean the house. - Okay, continue. - Come on, man, we can do this.	 
Yeah, and make a big deal out of it in front of your mom, okay?	Ouais, et fais en tout un plat devant ta mère, ok ?	Um... well, I don't... I don't know how it happened or why I even said yes, but I'm actually supposed to hang out with Matt. - Oh. Oh, great. - That's perfect. - Go out with him. - Seriously?	 
Can i leave it here and come back when he returns?	Je peux la laisser et repasser ?	I was thinking you might want to buy it... cheap for parts. - - We'd have to talk to the boss about that. - - Is he here now? - Naw, he's getting divorced. - He'll be back later.	 
I just can't get it out.	J'arrive pas à l'enlever.	I don't know the answer! - That's what I'm trying to find out! - -Give me some gum. - -I already gave you some. - I can see a grain of sand in there.	 
This, you know? I can't-- I can't turn it off.	Vous savez, je peux pas l'éteindre.	This is what my parents drank and they're alcoholics. - Help you sleep at night? - Yeah. - I get it. - What keeps you awake?	 
I can't get it out of my head.	Je n'arrête pas d'y penser.	Not a good one. - No, I know this is your spot. - I always wanted to see the infamous TRIC. - - Sounds like you've done your research. - - I'm so inside this story.	 
He didn't have time to have it made.	Il n'a pas eu le temps.	He made the fake case. - He had the fake case made. - He had it made. - He had to have had it made. - In Paris, before we went to Nice.	 
I had to say it once.	Il fallait que je le dise au moins une fois.	- Yes, lie. In the interest of national security. - You can imagine how the stock market alone would react to the news, - "We've misplaced the president." - Um, should I inform the deputy secretary, - Madam President?	 
It doesn't feel right.	Ca ne me semble pas bien.	Well, at least now we know 'where he's hiding.' - - Let's just get this over with. - If we go over there, they're just gonna turn the cameras on you which is the last thing I want to happen. - We're gonna need to find another way to reach him. - Well, I don't want this money.	 
Shut it down!	Coupez ça!	Talk about empire. - You're gonna tell me what you did with her... then I'm gonna kill you again. - - Do you understand, old man? - - Don't you get it? - Your daughter happens...	 
You know, you should try it sometime.	Tu devrais essayer.	I don't trust locke. - Can you get aaron for me? Yeah, i'm just... - not very good with babies. - You're so good with him. - The last thing i ever thought i'd be good at is being a mom.	 
I couldn't have done it without you.	J'aurais jamais pu faire ça sans toi.	- Yeah? - It's good to see you again. - Good to see you. - Thank you, Liz. - And thank you, by the way.	 
Kim, you can lift it with one hand, right?	Tu peux le tenir d'une main ou t'as besoin des deux ?	You have to release yours, I just have to swing this. - From down there? - - Can I carry it ...? - - No. - Then I'd be like this.	 
How long will it take?	Ça prendra combien de temps?	Are you listening to me, honey? - - A highway? - The place is largely a provincial backwater. - Zeevik Sholtheiss, Ministry of Progress. - What a time-waster, Zigler!	 
How long will it take you to analyze it?	Combien de temps pour l'analyser ?	Do you have any fascinating trivia on that subject? - One man's trivia is another man's wisdom. - Mm-hmm... the chalk used in flooring, fireproofing, cosmetics, toothpaste and laxatives. - Obviously, we are on the lookout for a clean-toothed, eye shadow wearing, constipated contractor. - Hey, Brennan sent a photograph of the note the twins left at the circus.	 
It was never meant to be taken seriously.	Cela n'était pas censé être pris au sérieux.	- Won't you? - - We'll see. - I need you to sign for the storage, Mr Frohman. - - (man #2) Easy does it. - Take your time.	 
You sure you wanna play it now?	Tu veux vraiment la jouer ?	You weren't just... comfortable in the mud. - You enjoy being there. - Clemente is going to cut off the funding unless you stop her. - So... stop her. And the negative goes into the shredder. - You can only play this card once, you know.	 
- How long will it take?	- Ça va durer longtemps ?	My sister will be worried to death. - She'll think I've been murdered, or in jail again, or something. - Hold still, my dear. - - What are you doing? - - Painting you.	 
Is it important?	C'est important ?	Travis, you've lost a lot of weight. - Are you feeling okay? - Yeah, fine. - You know how it is, Warden, when you're recovering from an injury and you have no appetite. - Oh, no, wait, I was supposed to mail this, wasn't I?	 
I couldn't have done it without you.	Je ne l'aurais pas eu sans vous.	Yeah. - Anytime. - Floyd'll go down to holding until Jersey can get here. - You can fight over him down there. - Thanks, Philly.	 
It was great.	C'était sympa.	While Chief Delk is completing his transition plans, maybe you and I could figure out a way for F.I.D. and Major Crimes to better share their cases. - Say, uh, over a - - I don't know -- working lunch or... - Lunch? - Great. - By the way, nice working with you.	 
Well, just don't leave me, even if I can't make it tonight.	Et bien, juste ne me laisse pas, même si je ne viens pas ce soir.	Well, now that you're hosting, it definitely is. - Tonight marks the start of a whole new era. - Serena takes Manhattan. - An adult Manhattan. - I couldn't be happier to leave my old life behind.	 
- Hey. - It was great.	C'était génial.	Okay, jumping on it. Calling the mysterious man with two first names. - Thank you. - Let's say hi to them, okay? - - Hi, Kitty's family! - - Hi, Walkers!	 
Now she's trying to cover it up.	Elle tente maintenant de le dissimuler.	A'isha Ward had $500,000 wired into a savings account... from an offshore bank just before the break-in. - That would be four times her annual salary. - She stole the formula, Cal. - She stole it. - She sold it.	 
Why'd you tear it up?	Pourquoi vous l'avez déchirée ?	No. These, um, actually are for my son. - Wow. What a progressive mother. - No. I found a centerfold under his bed, and I tore it up. - From a magazine, not the Internet? - He's old school. I respect that.	 
Why do you think I told you to leave it behind?	Pourquoi crois-tu que je t'ai dit de le laisser ?	I have assembled my fiercest warriors. - They'd better be as capable as you claim. - The Charmed Ones will be here soon. - The Charmed Ones... are coming here? - As soon as they scry with your crescent.	 
We can't throw it away.	Il faut le garder.	- Do I have natural loveliness? - - Yes. - But I'm not a woman. I'm a girl. - Well girls have it too. - You're right. This magazine's neat.	 
You're just gonna have to figure it out for yourself.	Tu devras le découvrir toi-même.	Fine! - Fine! - I'm gonna tell you the story, - - but I'm not telling you who your mom is. - - Fine.	 
Oh, okay. - Well, let's try it again.	On recommence.	I was filing. - Cheers. - I want to protect the ceramic. - Noted. - And you have to make eye contact, or it won't come true.	 
Is it better than having her here on earth?	C'est mieux que de l'avoir sur terre ?	The others won't allow me to. - Then what about mother? - Then mother will go to heaven. - But I don't like that at all. - Little girl, you don't know what it's like to have a mother in Heaven.	 
Shut it down!	Arrêtez-le !	- Two million kelvin. - - Activate the laser. - Four million kelvin. - You don't have it. - It's unstable.	 
It was great.	C'était génial.	What? - Fiancé. - You'll have to learn the word for "husband" soon. - Not soon enough. - How was the concert?	 
It was great.	C'était bien.	Are you okay? - I'm so sorry about everything. - It's okay. - Hi. - So, last night...	 
It was great.	C'était génial.	What? - Fiancé. - You'll have to learn the word for "husband" soon. - Not soon enough. - How was the concert?	 
How long will it take to repair?	- Combien de temps pour le réparer ?	Create a what to do what? - Make a wormhole to suck away the bad stuff. Oh. - We can use the javelin. - It's got a wormhole generator for interstellar travel. Uh... - More bad news.	 
Okay, put it in the emergency bay.	Placez-le dans le débarcadère d'urgence.	Ain't you, Doc? - Ain't you gonna fix my little brother? - -Hello? - -Seems we got off on the wrong foot. - T o show you there's no hard feelings, I'm sending in that machine you asked for.	 
I told you I'm turning it down.	Je t'ai dit que je déclinais la proposition.	Yes. - You seem calmer than I expected you'd be. - I got you something. - Let me open it for you. - You have to go to Washington.	 
And I can help you get it back.	Et je peux t'y aider.	You shouldn't have to know. - You didn't ask for this. - You don't want it. - It's unfair. - I just want my life back.	 
